song id, 歌曲名, 艺术家
2691802489,Sweet Escape,Aiden Cha
2696837663,Way To You,Aiden Cha
2743475488,My Days,Aiden Cha
2695788286,Trailblazing,Synkachi
2734788189,Absence of You,Synkachi
2741705578,You,AgusAlvarez/ Luke Bergs
2729955139,day & night,shxpe
2729955138,part of me,shxpe
2729961550,haunting,shxpe
2729961549,hide,shxpe
2744605426,Celestial,MRTY McFLTHY
2742537461,You & I,xoxodubstep
2734903121,I Love You,God's Warrior
2745544520,Forever True,CrossXCrown/ Ronck
2743095496,Addiction,2nd Life/ Lena Luisa
2743253066,Interstellar,Kosmic Fluid
2748991800,I Am Not My Body,Kaivon
2749140776,In Your Eyes,Raiolens
2742551130,New Horizons,Asura Ghai
2747753380,Please Don't,Anki
2746928032,Back When It Was Easy,Culture Code
2744534383,9 Lives,JVNA
2738175159,Statue,Aureonix
2747167507,Maybe It's My Fault,Brennan Wolf
2738087824,The Other Side,Corticus/ Donna Tella
2745960895,Heartbreak Avenue,TIFFVNYJOY
2746630377,Spotlight,Owtlet
2744950504,Iced Out,tevn
2746716398,Sleepless,Mxnh
2726670246,Return,Pretty Ghosts
2744477232,Time Is All I Got,Azee/ Nick Eyra
2738101982,Lost Without,Au5
2738101983,Shattered,Au5
2738103174,Better To Believe,Au5
2738103175,Into The Light,Au5
2722142495,Hearts On Fire,Tark/ Matt Wright
2749624825,Let It Be (TWLGHT & LUMINATE Remix),Maypops/ TWLGHT/ Luminate
2746925338,Emotional,Bumpÿ/ E.F LINK/ Wolfpup
2740784010,Save Tonight,SLANDER/ HALIENE
2744558284,This Far,Adam Jasim/ Kamas/ Mack Morrison
2749467352,Goodbye,William Black/ Blanke/ MGRD
2738172011,Perfect,Rogue
2749220395,Last Time [Slowed + Reverb],Stardust/ TimZz/ Slowed Star
2749220809,Never Looking Back [Slowed + Reverb],Stardust/ SPEAR/ Slowed Star
2745881966,Angels,Lucras
2749188029,Echoes Of You,Chromrova/ M2K Records
2749158129,When You Fade Away,Martin Icarus
2749091002,Language X Alive (Gazing Skies Flip),Gazing Skies
2749051699,Life Before [Sped Up],Stardust/ No-One CN/ Nightcore Star
2749052945,Nurko & HALIENE - Retraced (Sora Jae Remix),Sora Jae
